brand,year,selling_price,km_driven,fuel_type,transmission,owner_type
Hyundai,2022,4.853883658324946,192999,Petrol,Manual,First Owner
Kia,2019,7.066410166692674,168859,Petrol,Manual,First Owner
Mahindra,2008,3.319199324009988,209563,Petrol,Manual,First Owner
Kia,2021,16.35870446063359,72347,Petrol,Manual,First Owner
Toyota,2017,25.60016792747676,102429,Diesel,Manual,Second Owner
Hyundai,2006,3.0,225149,Diesel,Manual,First Owner
Toyota,2007,26.6140127042742,21366,Petrol,Automatic,Second Owner
Bmw,2021,38.59697931401878,125344,Diesel,Manual,Fourth & Above Owner
Ford,2008,5.170844535719459,123573,Petrol,Manual,Second Owner
Mercedes,2006,45.856936360774135,114635,Petrol,Manual,First Owner
Bmw,2013,29.10659094868185,111276,Diesel,Automatic,Fourth & Above Owner
Ford,2014,3.0,188083,Diesel,Manual,Second Owner
Bmw,2015,42.91112795974552,53259,Diesel,Manual,Third Owner
Kia,2016,3.932836480140635,223331,Petrol,Manual,First Owner
Ford,2022,3.0,224555,Petrol,Manual,Second Owner
Mahindra,2018,20.756036497382425,48951,Diesel,Manual,First Owner
Ford,2005,3.0,243666,Diesel,Automatic,First Owner
Skoda,2006,4.8530591662517715,69201,Diesel,Automatic,First Owner
Tata,2005,8.32987456791013,17678,Lpg,Manual,Second Owner
Kia,2012,14.537429022492269,102526,Petrol,Manual,First Owner
Volkswagen,2011,3.0,199957,Diesel,Automatic,First Owner
Bmw,2021,32.40454143107971,211926,Diesel,Automatic,Second Owner
Toyota,2011,14.058375279146038,163200,Petrol,Manual,First Owner
Nissan,2005,3.0,203741,Petrol,Manual,First Owner
Maruti,2020,9.09297853486204,69051,Diesel,Automatic,Third Owner
Toyota,2009,11.503981127719198,220352,Petrol,Manual,Third Owner
Ford,2021,5.072320824875369,160613,Diesel,Manual,Third Owner
Renault,2018,9.917390637303694,37727,Diesel,Manual,Second Owner
Renault,2020,11.788874281841796,36517,Petrol,Manual,First Owner
Mahindra,2019,16.015061234508625,70489,Petrol,Manual,First Owner
Tata,2007,11.382956617280986,22004,Diesel,Manual,First Owner
Hyundai,2016,11.849958646900333,74273,Petrol,Automatic,Third Owner
Volkswagen,2012,3.0,248404,Diesel,Manual,First Owner
Honda,2016,11.084372309068987,63823,Petrol,Automatic,First Owner
Volkswagen,2018,3.0,160910,Lpg,Automatic,Second Owner
Volkswagen,2014,3.0,244493,Petrol,Automatic,Second Owner
Audi,2010,38.51052266842269,67039,Petrol,Manual,First Owner
Volkswagen,2021,6.13355570770071,175564,Diesel,Automatic,Third Owner
Bmw,2016,36.001191069504536,115258,Petrol,Manual,Second Owner
Volkswagen,2020,14.45932544232252,74901,Petrol,Manual,Third Owner
Bmw,2009,24.058719584036414,237771,Petrol,Automatic,First Owner
Bmw,2020,36.91310698016255,165894,Diesel,Manual,First Owner
Toyota,2010,19.717423720438617,112487,Diesel,Automatic,First Owner
Tata,2013,3.0,203963,Petrol,Manual,First Owner
Mercedes,2020,39.11141587160254,225608,Petrol,Manual,First Owner
Honda,2011,3.0,196463,Petrol,Manual,First Owner
Volkswagen,2009,3.0,217858,Lpg,Manual,First Owner
Mahindra,2021,12.52222950803008,83892,Petrol,Manual,First Owner
Ford,2022,11.559743702400027,89318,Diesel,Automatic,First Owner
Renault,2010,7.931070156268822,62008,Petrol,Manual,First Owner
Bmw,2010,33.10968249617856,175522,Diesel,Manual,First Owner
Renault,2009,3.0,201775,Lpg,Manual,First Owner
Honda,2005,3.0,166822,Petrol,Manual,First Owner
Kia,2014,8.577955442295362,151805,Diesel,Manual,Fourth & Above Owner
Renault,2009,3.0,193946,Petrol,Manual,First Owner
Skoda,2020,16.854112973669235,49458,Diesel,Manual,Third Owner
Mercedes,2008,49.06894803340825,94652,Petrol,Automatic,First Owner
Volkswagen,2016,3.0,178223,Petrol,Manual,First Owner
Nissan,2014,9.382913963092497,17797,Petrol,Manual,First Owner
Hyundai,2016,3.0,228168,Petrol,Manual,First Owner
Nissan,2007,10.190696742081833,46904,Lpg,Manual,Third Owner
Skoda,2013,3.0,197813,Diesel,Automatic,Third Owner
Renault,2016,3.0,156055,Petrol,Manual,Second Owner
Mercedes,2011,36.25584660961494,212667,Petrol,Manual,First Owner
Renault,2020,3.0,194899,Diesel,Automatic,Second Owner
Toyota,2014,17.430264051457304,131381,Petrol,Manual,Second Owner
Mercedes,2011,38.9062324598194,190231,Petrol,Manual,First Owner
Tata,2005,3.0,89891,Diesel,Automatic,First Owner
Toyota,2008,20.839051796211912,148001,Petrol,Automatic,First Owner
Renault,2013,3.0,229191,Petrol,Manual,First Owner
Skoda,2012,16.33171098566013,25765,Petrol,Manual,Second Owner
Honda,2020,12.042176531546179,92171,Petrol,Manual,First Owner
Renault,2019,16.97752738740132,9235,Diesel,Manual,Second Owner
Maruti,2007,4.137732520222018,135896,Diesel,Manual,First Owner
Hyundai,2015,3.0,196624,Lpg,Manual,First Owner
Maruti,2013,12.51351111366846,14446,Petrol,Manual,First Owner
Hyundai,2006,3.0,139597,Diesel,Manual,Second Owner
Nissan,2016,6.88837915233484,106728,Cng,Manual,First Owner
Skoda,2014,3.0,196764,Diesel,Manual,First Owner
Skoda,2006,10.671270652372538,58932,Lpg,Manual,First Owner
Maruti,2013,9.986200962194372,44883,Lpg,Manual,First Owner
Hyundai,2018,15.085242019484513,28197,Diesel,Manual,First Owner
Toyota,2010,23.21001132043343,104818,Lpg,Manual,Second Owner
Volkswagen,2011,3.3772558785288282,124444,Diesel,Manual,First Owner
Honda,2006,3.0,230196,Petrol,Manual,First Owner
Renault,2008,3.0,119138,Cng,Manual,First Owner
Mahindra,2022,19.028832771423517,47041,Diesel,Manual,First Owner
Audi,2016,32.60773454244243,176258,Petrol,Manual,First Owner
Toyota,2008,27.116653835548593,20074,Petrol,Manual,Fourth & Above Owner
Maruti,2013,5.091389926970209,89596,Petrol,Manual,Second Owner
Mercedes,2008,41.80406986463879,165099,Diesel,Manual,Second Owner
Nissan,2012,13.453122811429049,67220,Petrol,Manual,First Owner
Maruti,2007,3.0,150661,Petrol,Manual,Third Owner
Ford,2016,7.231742885783952,116058,Petrol,Manual,Second Owner
Skoda,2015,3.0,238247,Petrol,Automatic,First Owner
Audi,2016,37.0959384856341,75425,Lpg,Manual,Second Owner
Skoda,2012,3.8717071496609616,227084,Petrol,Manual,First Owner
Ford,2010,5.516024894861986,158338,Petrol,Automatic,Fourth & Above Owner
Honda,2009,3.296275704060073,188610,Petrol,Automatic,First Owner
Audi,2008,40.33222492945476,46352,Diesel,Manual,Third Owner
Mahindra,2012,13.602804075132292,9693,Diesel,Manual,Fourth & Above Owner
Tata,2013,3.0,184036,Petrol,Manual,First Owner
Bmw,2017,37.42336912342861,122694,Petrol,Automatic,Third Owner
Audi,2005,32.15217677001287,80668,Cng,Manual,First Owner
Hyundai,2010,3.0,224544,Diesel,Manual,Second Owner
Renault,2020,3.0,84991,Diesel,Manual,First Owner
Honda,2021,12.498997741035472,111244,Petrol,Manual,First Owner
Renault,2021,3.0,182428,Lpg,Manual,First Owner
Kia,2010,3.0,240725,Diesel,Manual,Second Owner
Hyundai,2007,3.0,225251,Petrol,Manual,Second Owner
Kia,2008,4.341113311946118,164859,Lpg,Manual,First Owner
Ford,2007,5.344252069478548,32048,Diesel,Manual,First Owner
Mercedes,2022,57.79712267310642,31816,Diesel,Manual,First Owner
Ford,2020,3.4754307897055607,174750,Diesel,Automatic,Second Owner
Toyota,2019,20.333476294214375,129771,Petrol,Manual,First Owner
Mercedes,2018,60.66943046206426,37610,Petrol,Manual,First Owner
Audi,2011,28.841167655805737,175426,Petrol,Manual,Fourth & Above Owner
Mahindra,2013,3.0,235864,Diesel,Manual,Fourth & Above Owner
Audi,2020,44.62646943247185,21015,Petrol,Manual,Second Owner
Mercedes,2019,44.74369627085121,207284,Petrol,Manual,First Owner
Honda,2014,9.417687432659783,89439,Cng,Manual,Second Owner
Nissan,2020,6.644894367837352,102457,Petrol,Manual,First Owner
Bmw,2011,32.80962772321208,180684,Diesel,Automatic,First Owner
Honda,2012,12.209376993700616,65485,Petrol,Manual,Fourth & Above Owner
Maruti,2020,14.009495847098801,43482,Petrol,Automatic,First Owner
Audi,2011,21.5165422527761,241146,Petrol,Automatic,First Owner
Tata,2018,7.773033722955162,90343,Petrol,Manual,Second Owner
Mercedes,2013,48.340472866302825,46548,Petrol,Manual,Third Owner
Renault,2010,3.0,174028,Petrol,Manual,Third Owner
Renault,2008,3.0,58095,Diesel,Automatic,First Owner
Mahindra,2015,5.389340684061011,195007,Petrol,Manual,Second Owner
Audi,2013,40.05817745992289,22266,Petrol,Manual,Third Owner
Mahindra,2011,4.35513212143736,132035,Petrol,Manual,Second Owner
Ford,2018,6.081474408611241,103724,Petrol,Manual,First Owner
Skoda,2005,3.0,239430,Petrol,Manual,Second Owner
Nissan,2006,3.0,132714,Petrol,Manual,Third Owner
Kia,2022,3.0,231706,Diesel,Manual,First Owner
Kia,2016,17.926994621784367,65888,Diesel,Manual,Second Owner
Volkswagen,2014,10.634157478667813,120992,Diesel,Manual,Second Owner
Tata,2005,3.0,204386,Diesel,Automatic,Second Owner
Skoda,2015,9.439903251441738,44267,Petrol,Manual,First Owner
Skoda,2012,3.0,232295,Petrol,Manual,First Owner
Kia,2015,4.845974243534794,194368,Petrol,Manual,Second Owner
Bmw,2005,24.493843711199265,170835,Diesel,Manual,First Owner
Mahindra,2014,11.008443261675941,64569,Petrol,Manual,First Owner
Renault,2015,3.0,205418,Petrol,Manual,First Owner
Ford,2010,3.0,211491,Lpg,Automatic,First Owner
Skoda,2005,9.316388429019261,76690,Petrol,Automatic,Second Owner
Honda,2022,6.666767746046763,148850,Petrol,Manual,Fourth & Above Owner
Toyota,2017,31.567232077598117,19856,Cng,Manual,First Owner
Hyundai,2016,4.90133393004411,101552,Petrol,Manual,First Owner
Skoda,2018,14.227141201230959,41913,Petrol,Automatic,First Owner
Mercedes,2017,45.35056789846004,141313,Petrol,Manual,Second Owner
Maruti,2007,3.0,139464,Petrol,Manual,First Owner
Ford,2013,3.0,135538,Lpg,Manual,Third Owner
Renault,2020,3.0,170902,Diesel,Manual,Second Owner
Renault,2010,3.0,231559,Petrol,Automatic,First Owner
Nissan,2022,15.896270497983704,53199,Petrol,Manual,First Owner
Mahindra,2006,13.585937355276709,57518,Petrol,Manual,Second Owner
Toyota,2010,22.956750304146205,57777,Diesel,Manual,First Owner
Mahindra,2011,3.0,232398,Petrol,Automatic,First Owner
Tata,2016,11.042455523492903,27701,Petrol,Manual,First Owner
Nissan,2008,7.008733072279824,12678,Diesel,Manual,Second Owner
Kia,2009,13.783104768150796,44308,Diesel,Manual,Second Owner
Maruti,2016,3.0,193454,Cng,Manual,Third Owner
Bmw,2010,35.413214742207046,147008,Diesel,Manual,First Owner
Tata,2020,3.0,230318,Petrol,Manual,Third Owner
Mahindra,2020,15.576000376723645,55051,Diesel,Automatic,Second Owner
Toyota,2010,18.156590084837923,101542,Cng,Manual,Second Owner
Mahindra,2015,7.293649039540145,141070,Petrol,Manual,Second Owner
Renault,2010,9.728252737618853,22901,Petrol,Manual,Third Owner
Kia,2011,3.0,230041,Petrol,Automatic,Second Owner
Volkswagen,2017,3.0,202143,Lpg,Manual,First Owner
Audi,2010,40.35740972347903,40221,Cng,Manual,First Owner
Renault,2007,3.0,211501,Diesel,Manual,Fourth & Above Owner
Maruti,2009,3.0,114953,Petrol,Automatic,First Owner
Hyundai,2021,8.083549473436673,87383,Lpg,Manual,Third Owner
Toyota,2009,10.209636039026133,236807,Petrol,Automatic,Third Owner
Tata,2011,3.0,132055,Petrol,Manual,First Owner
Skoda,2016,13.294602410725581,60662,Diesel,Manual,Third Owner
Skoda,2006,3.0,203319,Diesel,Manual,First Owner
Skoda,2009,3.0,180355,Diesel,Manual,First Owner
Bmw,2008,35.96664766277569,52050,Petrol,Manual,Second Owner
Volkswagen,2021,3.0,170955,Petrol,Manual,Third Owner
Bmw,2021,31.597756082419927,159099,Petrol,Manual,First Owner
Ford,2018,11.532198531312488,72461,Petrol,Manual,First Owner
Audi,2009,33.803363647074825,110504,Diesel,Automatic,Second Owner
Mercedes,2016,38.350691004634214,210628,Petrol,Automatic,Second Owner
Mercedes,2016,49.86313709387569,47731,Petrol,Manual,Second Owner
Bmw,2020,36.85805343861151,181971,Petrol,Manual,First Owner
Maruti,2007,3.0,208702,Diesel,Manual,First Owner
Audi,2018,24.48716589931878,234503,Diesel,Manual,Second Owner
Honda,2008,11.504125287171217,84546,Petrol,Manual,First Owner
Mercedes,2015,51.46849142718503,70319,Petrol,Manual,Third Owner
Volkswagen,2020,3.0,233934,Cng,Automatic,First Owner
Nissan,2006,3.0,118378,Diesel,Manual,First Owner
Honda,2007,3.0,144388,Petrol,Manual,Third Owner
Nissan,2019,3.0,130690,Petrol,Manual,Second Owner
Skoda,2005,9.973263272583427,131054,Lpg,Manual,Second Owner
Toyota,2017,15.739947222647626,158014,Diesel,Manual,First Owner
Renault,2014,3.0,108709,Petrol,Manual,First Owner
Renault,2011,3.4148724002063817,101052,Petrol,Manual,Second Owner
Mercedes,2020,50.194822153090804,103164,Petrol,Manual,Third Owner
Audi,2020,31.850773705334912,165795,Petrol,Manual,Second Owner
Skoda,2010,3.0,205401,Petrol,Automatic,First Owner
Honda,2005,4.169385371694004,141006,Petrol,Manual,First Owner
Renault,2007,3.0,170987,Petrol,Manual,Third Owner
Ford,2006,3.0,106197,Petrol,Manual,Second Owner
Nissan,2022,3.0,194554,Petrol,Automatic,First Owner
Toyota,2015,16.974223094383163,101477,Petrol,Manual,First Owner
Volkswagen,2017,5.551677034061161,108165,Diesel,Manual,First Owner
Hyundai,2009,14.30148702585732,18536,Petrol,Manual,First Owner
Skoda,2020,14.29408388738809,69052,Diesel,Automatic,Third Owner
Honda,2018,5.670238609428857,185916,Cng,Manual,Second Owner
Honda,2018,17.659733683812444,26281,Lpg,Manual,First Owner
Volkswagen,2013,11.910320068814416,59874,Petrol,Manual,Third Owner
Renault,2017,3.0,195280,Petrol,Manual,Fourth & Above Owner
Skoda,2014,3.0,218923,Diesel,Manual,Third Owner
Renault,2011,3.0,106742,Petrol,Automatic,Second Owner
Renault,2015,8.876497686656935,104690,Petrol,Manual,Fourth & Above Owner
Hyundai,2010,3.0,129759,Petrol,Automatic,First Owner
Maruti,2022,3.0,193685,Diesel,Automatic,Third Owner
Honda,2017,8.541181613461447,119989,Diesel,Manual,First Owner
Kia,2018,16.24517274342987,47490,Petrol,Automatic,First Owner
Nissan,2017,9.773597161179444,110628,Cng,Manual,First Owner
Bmw,2013,45.387920844255575,67388,Diesel,Manual,First Owner
Bmw,2022,36.05061257524359,172555,Petrol,Manual,Second Owner
Honda,2008,10.395455304660022,39962,Petrol,Automatic,Third Owner
Mahindra,2015,8.587608027744906,154139,Petrol,Manual,First Owner
Maruti,2006,8.35328296861651,36816,Cng,Manual,Third Owner
Honda,2010,3.0,243153,Diesel,Manual,Second Owner
Toyota,2015,18.660383827240516,161813,Diesel,Automatic,First Owner
Mahindra,2013,13.593555400118891,39031,Diesel,Manual,Second Owner
Tata,2021,3.0,239930,Petrol,Manual,First Owner
Maruti,2016,4.397440014237141,145512,Cng,Manual,First Owner
Bmw,2012,35.748490595689155,153625,Cng,Manual,Second Owner
Nissan,2012,14.172790123925145,20493,Diesel,Manual,Third Owner
Audi,2016,42.54083099192591,50999,Petrol,Manual,First Owner
Ford,2019,3.0,202940,Petrol,Manual,First Owner
Ford,2009,3.0,119562,Petrol,Manual,Second Owner
Toyota,2015,17.605866684034808,155996,Petrol,Manual,Second Owner
Mahindra,2015,3.0,246852,Diesel,Manual,Third Owner
Volkswagen,2005,5.307305544450985,109952,Diesel,Manual,First Owner
Volkswagen,2021,11.183005971092252,98320,Cng,Manual,Third Owner
Maruti,2015,3.0,201547,Petrol,Automatic,Second Owner
Ford,2009,10.501981335627796,21175,Petrol,Manual,First Owner
Toyota,2016,20.77300190966703,116475,Petrol,Automatic,Second Owner
Mahindra,2017,3.0,214424,Lpg,Manual,First Owner
Audi,2021,43.546518084893485,60807,Diesel,Manual,Second Owner
Renault,2005,3.0,79481,Petrol,Manual,First Owner
Bmw,2012,34.5103177285136,120762,Diesel,Manual,First Owner
Audi,2008,40.92182633806817,23202,Diesel,Automatic,Fourth & Above Owner
Kia,2015,17.69148576189028,22353,Petrol,Manual,Third Owner
Skoda,2014,11.80148922414446,66602,Petrol,Automatic,First Owner
Bmw,2013,28.988591556421202,224975,Petrol,Manual,Second Owner
Nissan,2022,17.02887870416876,59346,Petrol,Automatic,Fourth & Above Owner
Renault,2014,3.0,184084,Diesel,Manual,First Owner
Kia,2012,9.009349347065479,109387,Petrol,Manual,Second Owner
Mercedes,2006,37.41830708218804,191277,Diesel,Manual,First Owner
Bmw,2010,40.250858237172835,85897,Diesel,Automatic,Third Owner
Nissan,2021,3.0,219250,Petrol,Manual,First Owner
Renault,2013,5.780279535575412,95855,Lpg,Manual,Third Owner
Audi,2021,30.918842683095274,198935,Petrol,Manual,First Owner
Toyota,2014,14.63139982845551,208696,Diesel,Manual,First Owner
Kia,2014,16.568249761601397,110803,Petrol,Manual,Third Owner
Bmw,2012,28.84735983746308,168398,Diesel,Manual,First Owner
Mercedes,2015,60.0426591211701,34065,Petrol,Manual,Third Owner
Ford,2006,3.8113074537636513,126624,Petrol,Manual,First Owner
Nissan,2006,11.444510347685352,96474,Petrol,Manual,Second Owner
Hyundai,2013,3.0,238830,Diesel,Manual,Second Owner
Hyundai,2015,3.0,233850,Diesel,Manual,First Owner
Renault,2014,3.0,196920,Diesel,Manual,Second Owner
Audi,2012,25.906690340738642,237527,Petrol,Automatic,Second Owner
Skoda,2010,3.0,244099,Diesel,Automatic,Second Owner
Ford,2017,3.0,193128,Diesel,Automatic,Second Owner
Bmw,2015,36.65842500793428,150486,Petrol,Manual,First Owner
Volkswagen,2005,8.576175965541394,55085,Petrol,Manual,First Owner
Kia,2013,3.0,204772,Petrol,Manual,First Owner
Bmw,2017,44.371923641124326,52640,Diesel,Manual,Fourth & Above Owner
Ford,2019,10.825552730710898,50374,Petrol,Manual,First Owner
Kia,2010,3.0,220544,Petrol,Manual,First Owner
Hyundai,2021,11.604346461528614,33036,Lpg,Automatic,First Owner
Kia,2016,18.058294775359887,39769,Diesel,Manual,Second Owner
Mahindra,2012,5.963189205759797,130190,Petrol,Manual,Second Owner
Toyota,2016,18.168516862735405,148113,Cng,Automatic,First Owner
Skoda,2020,16.491650987542688,16166,Petrol,Manual,Third Owner
Mercedes,2009,46.78799029986926,97671,Diesel,Manual,Fourth & Above Owner
Kia,2007,15.384384983605536,60186,Petrol,Manual,Third Owner
Mercedes,2012,47.891038704648366,78992,Petrol,Automatic,Second Owner
Bmw,2006,37.32189450079975,49311,Lpg,Manual,First Owner
Honda,2020,7.777462323297915,170958,Petrol,Manual,First Owner
Maruti,2022,8.81263232860063,120882,Diesel,Manual,First Owner
Hyundai,2015,3.0,240094,Petrol,Manual,Second Owner
Toyota,2022,30.473568203335486,7035,Petrol,Manual,First Owner
Maruti,2006,3.0,195520,Lpg,Manual,First Owner
Renault,2016,3.0,227883,Petrol,Manual,Second Owner
Mercedes,2012,45.62336997380456,124109,Diesel,Automatic,Second Owner
Kia,2009,3.0,176342,Diesel,Manual,First Owner
Renault,2010,3.0,112974,Petrol,Manual,Third Owner
Nissan,2014,6.464536357486512,150783,Petrol,Manual,First Owner
Kia,2016,3.4284100147760053,227377,Petrol,Manual,Second Owner
Skoda,2007,8.225051394403673,134905,Petrol,Manual,Fourth & Above Owner
Ford,2016,5.90831080267657,146636,Petrol,Manual,First Owner
Toyota,2021,11.32958559517042,246741,Petrol,Manual,Third Owner
Kia,2005,6.372543663945244,126676,Diesel,Manual,Third Owner
Tata,2020,13.122007341965407,47430,Petrol,Manual,Fourth & Above Owner
Ford,2015,3.0,172294,Diesel,Manual,First Owner
Hyundai,2011,3.0,174755,Petrol,Manual,First Owner
Mercedes,2018,52.71801971932659,63102,Petrol,Manual,First Owner
Bmw,2016,32.77348972602532,183537,Petrol,Automatic,Third Owner
Hyundai,2018,14.511898282799546,20615,Petrol,Manual,First Owner
Tata,2006,3.0,83400,Diesel,Automatic,First Owner
Volkswagen,2006,3.0,214502,Petrol,Manual,Fourth & Above Owner
Volkswagen,2016,4.409916059631008,156289,Diesel,Automatic,First Owner
Skoda,2010,4.297657115154883,153779,Diesel,Manual,First Owner
Tata,2009,3.0,157133,Petrol,Manual,Second Owner
Nissan,2012,13.046349729070249,45394,Diesel,Manual,First Owner
Ford,2018,3.0,240523,Lpg,Manual,Second Owner
Skoda,2008,10.901912966426046,78021,Petrol,Manual,First Owner
Tata,2022,3.0,197677,Lpg,Manual,First Owner
Maruti,2012,3.0,247533,Petrol,Automatic,First Owner
Maruti,2007,3.92256721915952,64026,Diesel,Automatic,Second Owner
Honda,2006,3.0,160433,Petrol,Manual,First Owner
Kia,2020,15.626233046079683,15371,Diesel,Automatic,First Owner
Maruti,2007,3.0,160847,Diesel,Manual,Fourth & Above Owner
Honda,2012,7.769714472865671,113049,Lpg,Manual,Third Owner
Hyundai,2017,12.210193809191821,22680,Lpg,Manual,Second Owner
Nissan,2014,3.0,169642,Petrol,Manual,Fourth & Above Owner
Audi,2009,19.224710757952494,242402,Diesel,Automatic,First Owner
Mercedes,2006,51.462187529423744,25355,Petrol,Automatic,Second Owner
Audi,2017,23.424047457983992,223731,Petrol,Automatic,Third Owner
Bmw,2013,34.24247829249103,211667,Petrol,Manual,Second Owner
Mercedes,2005,44.26703456310036,139206,Cng,Manual,First Owner
Maruti,2008,3.0,225837,Diesel,Manual,Third Owner
Skoda,2015,9.898051885927462,80800,Petrol,Manual,First Owner
Mercedes,2008,39.09773642991527,181418,Lpg,Automatic,First Owner
Mercedes,2012,41.03268089745651,176023,Diesel,Manual,Second Owner
Honda,2007,3.7773915189796687,147217,Petrol,Automatic,First Owner
Skoda,2019,4.412295227069705,209176,Petrol,Manual,First Owner
Honda,2016,3.0,219690,Diesel,Manual,First Owner
Maruti,2019,3.0,197599,Diesel,Manual,First Owner
Nissan,2005,3.0,149154,Petrol,Manual,First Owner
Tata,2011,3.0,244376,Petrol,Manual,Second Owner
Hyundai,2009,3.0,141112,Petrol,Automatic,Second Owner
Bmw,2016,31.5589327853298,161029,Petrol,Manual,Second Owner
Tata,2019,14.668981795466905,51259,Petrol,Manual,First Owner
Skoda,2009,10.99401605945389,83700,Petrol,Manual,First Owner
Ford,2018,3.0,226650,Petrol,Manual,Fourth & Above Owner
Maruti,2015,3.0,126992,Diesel,Manual,First Owner
Kia,2019,17.756551949509337,130253,Petrol,Automatic,First Owner
Renault,2006,3.0,204997,Petrol,Manual,Fourth & Above Owner
Tata,2022,11.273859687500433,84888,Petrol,Automatic,First Owner
Audi,2012,37.18149310189233,70008,Lpg,Manual,First Owner
Renault,2010,9.838386384958328,7174,Petrol,Manual,First Owner
Maruti,2008,6.076400038162708,61695,Petrol,Manual,Second Owner
Mercedes,2022,47.531353408912,130458,Petrol,Manual,First Owner
Ford,2020,4.3438856840113385,182584,Diesel,Manual,Second Owner
Audi,2007,34.07688721281388,85637,Petrol,Manual,Second Owner
Nissan,2013,8.01537166567105,113884,Petrol,Manual,Second Owner
Bmw,2018,45.315085367600915,59305,Diesel,Manual,First Owner
Audi,2015,30.881126763098006,205059,Diesel,Manual,First Owner
Tata,2008,3.0,133589,Petrol,Manual,Third Owner
Tata,2011,4.356412039224241,40202,Petrol,Manual,Third Owner
Ford,2011,3.0,154344,Lpg,Manual,First Owner
Skoda,2010,9.957396812499239,87245,Lpg,Manual,First Owner
Renault,2022,3.0,216959,Diesel,Manual,Second Owner
Honda,2008,12.941268410742701,70684,Diesel,Manual,Third Owner
Mercedes,2017,42.941847735275275,216859,Diesel,Manual,Third Owner
Skoda,2021,6.4095542182651055,175977,Lpg,Manual,Second Owner
Nissan,2019,20.172116676495456,38164,Petrol,Manual,First Owner
Toyota,2019,14.995112678623109,191035,Lpg,Manual,Second Owner
Audi,2007,25.75717235686467,181545,Diesel,Automatic,Third Owner
Volkswagen,2007,3.0,116720,Diesel,Manual,First Owner
Ford,2019,8.702325649202548,44372,Petrol,Manual,First Owner
Honda,2018,6.080454378376594,122117,Petrol,Manual,First Owner
Hyundai,2018,7.00498271805817,154111,Diesel,Automatic,First Owner
Toyota,2012,27.565995026057514,37347,Diesel,Manual,Third Owner
Volkswagen,2014,7.106003859251456,88564,Petrol,Manual,First Owner
Nissan,2005,3.0,176947,Diesel,Manual,Second Owner
Skoda,2010,7.779773042084367,140455,Petrol,Automatic,First Owner
Mahindra,2014,3.0,248117,Petrol,Manual,First Owner
Audi,2007,40.732448294805785,58101,Diesel,Manual,Second Owner
Hyundai,2007,3.0,195590,Diesel,Manual,First Owner
Audi,2005,33.53756676965787,109234,Petrol,Manual,Second Owner
Honda,2008,13.532242891416004,59662,Petrol,Manual,First Owner
Ford,2022,3.0,238035,Petrol,Automatic,Second Owner
Audi,2017,31.290369991487484,157665,Diesel,Automatic,Fourth & Above Owner
Ford,2022,9.451523319597644,136180,Cng,Manual,First Owner
Skoda,2009,10.451306532155032,77264,Diesel,Automatic,First Owner
Volkswagen,2015,3.0,220954,Diesel,Automatic,Third Owner
Kia,2021,25.478997072463528,12393,Petrol,Manual,First Owner
Bmw,2011,44.45249838073707,33207,Petrol,Manual,First Owner
Toyota,2016,25.53124677575695,49056,Diesel,Manual,Third Owner
Mercedes,2017,45.690305907613556,164987,Petrol,Manual,First Owner
Ford,2019,9.561699405754403,30135,Petrol,Manual,Second Owner
Volkswagen,2022,4.4015581674620945,200304,Petrol,Automatic,First Owner
Mahindra,2016,17.73384924321442,53003,Diesel,Automatic,Second Owner
Hyundai,2015,3.0,170735,Petrol,Manual,Second Owner
Volkswagen,2020,5.409984364223467,199923,Petrol,Manual,Second Owner
Mahindra,2017,3.5261700222878147,220255,Diesel,Manual,Second Owner
Kia,2011,13.577943836489263,76743,Petrol,Automatic,First Owner
Skoda,2016,21.816743283688012,23301,Petrol,Manual,First Owner
Audi,2014,25.7674844719072,190474,Diesel,Manual,Third Owner
Mercedes,2009,48.93569462067115,114933,Lpg,Manual,Third Owner
Volkswagen,2014,3.0,237471,Petrol,Manual,Second Owner
Maruti,2016,12.125798294154126,51093,Petrol,Manual,Second Owner
Honda,2021,7.1830380004097,145696,Petrol,Manual,First Owner
Renault,2015,9.871538954715795,34190,Petrol,Manual,Second Owner
Nissan,2007,3.0,123925,Diesel,Automatic,Second Owner
Tata,2022,13.374476123509638,5253,Diesel,Manual,First Owner
Renault,2015,3.0,188781,Petrol,Manual,First Owner
Honda,2010,3.0,153197,Diesel,Manual,First Owner
Mahindra,2018,17.91371144481311,28787,Petrol,Manual,First Owner
Hyundai,2011,3.0,127370,Petrol,Manual,Second Owner
Honda,2011,9.18943159656467,109911,Cng,Automatic,First Owner
Hyundai,2020,7.983711865072792,170043,Petrol,Manual,Second Owner
Hyundai,2020,12.81533706022427,127212,Petrol,Manual,Fourth & Above Owner
Honda,2014,5.420281377771428,117449,Diesel,Manual,Third Owner
Tata,2011,3.0,208607,Petrol,Manual,Third Owner
Volkswagen,2020,7.8013079920964845,132172,Petrol,Manual,Third Owner
Maruti,2008,3.0,204483,Petrol,Manual,First Owner
Toyota,2018,12.817367085490194,221908,Petrol,Manual,Second Owner
Ford,2015,3.0,212825,Petrol,Manual,Second Owner
Kia,2020,4.986646400751625,239108,Petrol,Manual,Fourth & Above Owner
Bmw,2012,27.487196580930465,175978,Petrol,Manual,Second Owner
Nissan,2019,6.163102939546474,142631,Petrol,Manual,First Owner
Honda,2005,3.0,134986,Diesel,Manual,Third Owner
Ford,2018,10.263431398193793,55102,Diesel,Manual,Second Owner
